symbol,alpha_factors_score,ml_features_score,technical_score,fundamental_score,sentiment_score,ml_predictor_score,composite_score,confidence,num_factors_computed
TRVG,0.08480067486013403,0.0,0.0,0.0,-0.1942223305218524,0.0,0.01504492351463742,0.2857142857142857,89
USOI,0.1619814072677534,0.0,0.0,0.0,0.02256490105112209,0.0,0.12712728071359558,0.2857142857142857,89
AEG,0.138395052059846,0.0,0.0,0.0,-0.26856483764267125,0.0,0.03665507963421668,0.2857142857142857,90
AKTX,0.1357481738088836,0.0,0.0,0.0,-0.45475436012309456,0.0,-0.011877459674110956,0.2857142857142857,89
AMCR,0.2757170515743298,0.0,0.0,0.0,-0.08149911559138734,0.0,0.1864130097829005,0.2857142857142857,90
ARBK,0.0864888090426769,0.0,0.0,0.0,-0.6353641216217364,0.0,-0.09397442362342644,0.2857142857142857,90
BNTX,0.10837819702913168,0.0,0.0,0.0,-0.11579650427188624,0.0,0.052334521703877195,0.2857142857142857,90
CLB,0.29762223556855655,0.0,0.0,0.0,-0.04319119757316867,0.0,0.21241887728312522,0.2857142857142857,90
CPRI,0.21819380460006993,0.0,0.0,0.0,0.1025757265639661,0.0,0.18928928509104398,0.2857142857142857,90
CRSP,0.11059442527808802,0.0,0.0,0.0,-0.03715034398075495,0.0,0.07365823296337728,0.2857142857142857,90
CRTO,0.15923993650575696,0.0,0.0,0.0,-0.36902271768686506,0.0,0.027174272957601445,0.2857142857142857,90
DEO,0.11024579238680388,0.0,0.0,0.0,-0.3648366840785218,0.0,-0.008524826729527564,0.2857142857142857,90
FERG,0.1834736589010914,0.0,0.0,0.0,-0.12686893600614665,0.0,0.10588801017428189,0.2857142857142857,90
GENI,0.09390237686605385,0.0,0.0,0.0,-0.5111396484297078,0.0,-0.05735812945788659,0.2857142857142857,90
GTX,0.2935634171084944,0.0,0.0,0.0,-0.2302624452766448,0.0,0.16260695151220958,0.2857142857142857,90
LBTYK,0.14774631217512374,0.0,0.0,0.0,0.03658019410292266,0.0,0.11995478265707347,0.2857142857142857,90
LIN,0.12569264498385008,0.0,0.0,0.0,-0.17978234024533787,0.0,0.04932389867655308,0.2857142857142857,90
